# ===== Simulation Performance =====
# wall_clock_time,56.286468
# physics_time,40.005000
# real_time_factor,0.710739
# control_time,0.005990
# ==================================

time,sim_time,lyapunov_V,x_log,xd_log,task_error,u0,u1
11.825000000000449,11.83000000000045,3.0831642890255425e-05,"[0.10919512525532307, 0.0, 0.03559721511198674]","[0.10924105189274301, 0.0, 0.03571321230037791]",0.00012475818105182166,-0.1651087202636185,-0.012613557614877549
11.850000000000453,11.855000000000453,3.191426523565103e-05,"[0.10962744069708391, 0.0, 0.03564980907476215]","[0.1096696623034912, 0.0, 0.035769529218255325]",0.0001269471417781365,-0.16540547066418484,-0.013161305461317345
11.875000000000457,11.880000000000457,3.3025565628593025e-05,"[0.11006168245888524, 0.0, 0.035706437433227774]","[0.11010023130828503, 0.0, 0.03582972049817523]",0.00012916937676123841,-0.165706828509234,-0.013708131826066934
11.90000000000046,11.905000000000461,3.415616731688719e-05,"[0.11049781664293659, 0.0, 0.03576710093398751]","[0.1105327323476002, 0.0, 0.03589378242725588]",0.00013140512611333307,-0.166012778104498,-0.014253995986581607
11.925000000000464,11.930000000000465,3.529636260821756e-05,"[0.11093580928887975, 0.0, 0.035831800136199854]","[0.11096713874273528, 0.0, 0.03596171105385579]",0.0001336352543496398,-0.16632330463628528,-0.01479885661374679
11.950000000000468,11.955000000000469,3.6436149699016016e-05,"[0.11137562640636682, 0.0, 0.03590053542225819]","[0.11140342369745761, 0.0, 0.03603350218781726]",0.000135841268159663,-0.1666383941849148,-0.015342671726426178
11.975000000000472,11.980000000000473,3.7565274985316605e-05,"[0.11181723400505278, 0.0, 0.035973307007809686]","[0.11184156029965606, 0.0, 0.03610915140072496]",0.00013800531763538844,-0.16695803373390403,-0.015885398637163848
12.000000000000476,12.005000000000477,3.867328068650327e-05,"[0.11226059812171646, 0.0, 0.03605011495094948]","[0.11228152152300126, 0.0, 0.03618865402617916]",0.00014011018552132073,-0.16728221116658923,-0.016426993886995443
12.02500000000048,12.03000000000048,3.9749557939082835e-05,"[0.11270568484387705, 0.0, 0.03613095916022757]","[0.11272328022861253, 0.0, 0.03627200516008339]",0.00014213926846341974,-0.16761091521464044,-0.016967413167428794
12.050000000000484,12.055000000000485,4.078340408768044e-05,"[0.11315246033020057, 0.0, 0.03621583940157679]","[0.11316680916673197, 0.0, 0.036359199660947084]",0.00014407655283397758,-0.16794413571547823,-0.017506611287340535
12.075000000000488,12.080000000000489,4.176408407064664e-05,"[0.11360089082961569, 0.0, 0.036304755305175136]","[0.11361208097840553, 0.0, 0.036450232150202766]",0.00014590658610608249,-0.16828186337139373,-0.018044542024838763
12.100000000000492,12.105000000000492,4.2680896740725144e-05,"[0.1140509426961805, 0.0, 0.03639770637062875]","[0.11405906819717046, 0.0, 0.03654509701253761]",0.00014761444742518456,-0.16862408985303987,-0.018581158055065605
12.125000000000496,12.130000000000496,4.3523244753983495e-05,"[0.11450258240086353, 0.0, 0.03649469197102152]","[0.11450774325074958, 0.0, 0.036643788396240135]",0.00014918571776318084,-0.168970807831983,-0.019116410847621383
12.1500000000005,12.1550000000005,4.4280707841951424e-05,"[0.11495577654077593, 0.0, 0.03659571135606197]","[0.11495807846275219, 0.0, 0.0367463002135609]",0.00015060645021916803,-0.16932201102302918,-0.019650250557023952
